Term,Score,Polarity,isAcquired
counter-attacks,1,POS,Y
counter-productive,1,NEG,Y
counterproductive,1,NEG,Y
coupists,1,NEG,Y
courage,1,POS,Y
courageous,1,POS,Y
courageously,1,POS,Y
courageousness,1,POS,Y
courteous,1,POS,Y
courtly,1,POS,Y
covenant,1,POS,Y
covetous,1,NEG,Y
coward,1,NEG,Y
cowardly,1,NEG,Y
cozy,1,POS,Y
crabby,1,NEG,Y
crack,1,NEG,Y
cracked,1,NEG,Y
cracks,1,NEG,Y
craftily,1,NEG,Y
craftly,1,NEG,Y
crafty,1,NEG,Y
cramp,1,NEG,Y
cramped,1,NEG,Y
cramping,1,NEG,Y
cranky,1,NEG,Y
crap,1,NEG,Y
crappy,1,NEG,Y
craps,1,NEG,Y
crash,1,NEG,Y
crashed,1,NEG,Y
crashes,1,NEG,Y
crashing,1,NEG,Y
crass,1,NEG,Y
craven,1,NEG,Y
cravenly,1,NEG,Y
craze,1,NEG,Y
crazily,1,NEG,Y
craziness,1,NEG,Y
crazy,1,NEG,Y
creak,1,NEG,Y
creaking,1,NEG,Y
creaks,1,NEG,Y
creative,1,POS,Y
credence,1,POS,Y
credible,1,POS,Y
credulous,1,NEG,Y
creep,1,NEG,Y
creeping,1,NEG,Y
creeps,1,NEG,Y
creepy,1,NEG,Y
crept,1,NEG,Y
crime,1,NEG,Y
criminal,1,NEG,Y
cringe,1,NEG,Y
cringed,1,NEG,Y
cringes,1,NEG,Y
cripple,1,NEG,Y
crippled,1,NEG,Y
cripples,1,NEG,Y
crippling,1,NEG,Y
crisis,1,NEG,Y
crisp,1,POS,Y
crisper,1,POS,Y
critic,1,NEG,Y
critical,1,NEG,Y
criticism,1,NEG,Y
criticisms,1,NEG,Y
criticize,1,NEG,Y
criticized,1,NEG,Y
criticizing,1,NEG,Y
critics,1,NEG,Y
cronyism,1,NEG,Y
crook,1,NEG,Y
crooked,1,NEG,Y
crooks,1,NEG,Y
crowded,1,NEG,Y
crowdedness,1,NEG,Y
crude,1,NEG,Y
cruel,1,NEG,Y
crueler,1,NEG,Y
cruelest,1,NEG,Y
cruelly,1,NEG,Y
cruelness,1,NEG,Y
cruelties,1,NEG,Y
cruelty,1,NEG,Y
crumble,1,NEG,Y
crumbling,1,NEG,Y
crummy,1,NEG,Y
crumple,1,NEG,Y
crumpled,1,NEG,Y
crumples,1,NEG,Y
crush,1,NEG,Y
crushed,1,NEG,Y
crushing,1,NEG,Y
cry,1,NEG,Y
culpable,1,NEG,Y
culprit,1,NEG,Y
cumbersome,1,NEG,Y
cunt,1,NEG,Y
cunts,1,NEG,Y
cuplrit,1,NEG,Y
cure,1,POS,Y
cure-all,1,POS,Y
curse,1,NEG,Y
cursed,1,NEG,Y
curses,1,NEG,Y
curt,1,NEG,Y
cushy,1,POS,Y
cuss,1,NEG,Y
cussed,1,NEG,Y
cute,1,POS,Y
cuteness,1,POS,Y
cutthroat,1,NEG,Y
cynical,1,NEG,Y
cynicism,1,NEG,Y
d*mn,1,NEG,Y
damage,1,NEG,Y
damaged,1,NEG,Y
damages,1,NEG,Y
damaging,1,NEG,Y
damn,1,NEG,Y
damnable,1,NEG,Y
damnably,1,NEG,Y
damnation,1,NEG,Y
damned,1,NEG,Y
damning,1,NEG,Y
damper,1,NEG,Y
danger,1,NEG,Y
dangerous,1,NEG,Y
dangerousness,1,NEG,Y
danke,1,POS,Y
danken,1,POS,Y
daring,1,POS,Y
daringly,1,POS,Y
dark,1,NEG,Y
darken,1,NEG,Y
darkened,1,NEG,Y
darker,1,NEG,Y
darkness,1,NEG,Y
darling,1,POS,Y
dashing,1,POS,Y
dastard,1,NEG,Y
dastardly,1,NEG,Y
daunt,1,NEG,Y
daunting,1,NEG,Y
dauntingly,1,NEG,Y
dauntless,1,POS,Y
dawdle,1,NEG,Y
dawn,1,POS,Y
daze,1,NEG,Y
dazed,1,NEG,Y
dazzle,1,POS,Y
dazzled,1,POS,Y
dazzling,1,POS,Y
dead,1,NEG,Y
dead-cheap,1,POS,Y
dead-on,1,POS,Y
deadbeat,1,NEG,Y
deadlock,1,NEG,Y
deadly,1,NEG,Y
deadweight,1,NEG,Y
deaf,1,NEG,Y
dearth,1,NEG,Y
death,1,NEG,Y
debacle,1,NEG,Y
debase,1,NEG,Y
debasement,1,NEG,Y
debaser,1,NEG,Y
debatable,1,NEG,Y
debauch,1,NEG,Y
debaucher,1,NEG,Y
debauchery,1,NEG,Y
debilitate,1,NEG,Y
debilitating,1,NEG,Y
debility,1,NEG,Y
debt,1,NEG,Y
debts,1,NEG,Y
decadence,1,NEG,Y
decadent,1,NEG,Y
decay,1,NEG,Y
decayed,1,NEG,Y
deceit,1,NEG,Y
deceitful,1,NEG,Y
deceitfully,1,NEG,Y
deceitfulness,1,NEG,Y
deceive,1,NEG,Y
deceiver,1,NEG,Y
deceivers,1,NEG,Y
deceiving,1,NEG,Y
decency,1,POS,Y
decent,1,POS,Y
deception,1,NEG,Y
deceptive,1,NEG,Y
deceptively,1,NEG,Y
decisive,1,POS,Y
decisiveness,1,POS,Y
declaim,1,NEG,Y
decline,1,NEG,Y
declines,1,NEG,Y
declining,1,NEG,Y
decrement,1,NEG,Y
decrepit,1,NEG,Y
decrepitude,1,NEG,Y
decry,1,NEG,Y
dedicated,1,POS,Y
defamation,1,NEG,Y
defamations,1,NEG,Y
defamatory,1,NEG,Y
defame,1,NEG,Y
defeat,1,POS,Y
defeated,1,POS,Y
defeating,1,POS,Y
defeats,1,POS,Y
defect,1,NEG,Y
defective,1,NEG,Y
defects,1,NEG,Y
defender,1,POS,Y
defensive,1,NEG,Y
deference,1,POS,Y
defiance,1,NEG,Y
defiant,1,NEG,Y
defiantly,1,NEG,Y
deficiencies,1,NEG,Y
deficiency,1,NEG,Y
deficient,1,NEG,Y
defile,1,NEG,Y
defiler,1,NEG,Y
deform,1,NEG,Y
deformed,1,NEG,Y
defrauding,1,NEG,Y
deft,1,POS,Y
defunct,1,NEG,Y
defy,1,NEG,Y
degenerate,1,NEG,Y
degenerately,1,NEG,Y
degeneration,1,NEG,Y
deginified,1,POS,Y
degradation,1,NEG,Y
degrade,1,NEG,Y
degrading,1,NEG,Y
degradingly,1,NEG,Y
dehumanization,1,NEG,Y
dehumanize,1,NEG,Y
deign,1,NEG,Y
deject,1,NEG,Y
dejected,1,NEG,Y
dejectedly,1,NEG,Y
dejection,1,NEG,Y
delay,1,NEG,Y
delayed,1,NEG,Y
delaying,1,NEG,Y
delays,1,NEG,Y
delectable,1,POS,Y
delicacy,1,POS,Y
delicate,1,POS,Y
delicious,1,POS,Y
delight,1,POS,Y
delighted,1,POS,Y
delightful,1,POS,Y
delightfully,1,POS,Y
delightfulness,1,POS,Y
delinquency,1,NEG,Y
delinquent,1,NEG,Y
delirious,1,NEG,Y
delirium,1,NEG,Y
delude,1,NEG,Y
deluded,1,NEG,Y
deluge,1,NEG,Y
delusion,1,NEG,Y
delusional,1,NEG,Y
delusions,1,NEG,Y
demean,1,NEG,Y
demeaning,1,NEG,Y
demise,1,NEG,Y
demolish,1,NEG,Y
demolisher,1,NEG,Y
demon,1,NEG,Y
demonic,1,NEG,Y
demonize,1,NEG,Y
demonized,1,NEG,Y
demonizes,1,NEG,Y
demonizing,1,NEG,Y
demoralize,1,NEG,Y
demoralizing,1,NEG,Y
demoralizingly,1,NEG,Y
denial,1,NEG,Y
denied,1,NEG,Y
denies,1,NEG,Y
denigrate,1,NEG,Y
denounce,1,NEG,Y
dense,1,NEG,Y
dent,1,NEG,Y
dented,1,NEG,Y
dents,1,NEG,Y
denunciate,1,NEG,Y
denunciation,1,NEG,Y
denunciations,1,NEG,Y
deny,1,NEG,Y
denying,1,NEG,Y
dependable,1,POS,Y
dependably,1,POS,Y
deplete,1,NEG,Y
deplorable,1,NEG,Y
deplorably,1,NEG,Y
deplore,1,NEG,Y
deploring,1,NEG,Y
deploringly,1,NEG,Y
deprave,1,NEG,Y
depraved,1,NEG,Y
depravedly,1,NEG,Y
deprecate,1,NEG,Y
depress,1,NEG,Y
depressed,1,NEG,Y
depressing,1,NEG,Y
depressingly,1,NEG,Y
depression,1,NEG,Y
depressions,1,NEG,Y
deprive,1,NEG,Y
deprived,1,NEG,Y
deride,1,NEG,Y
derision,1,NEG,Y
derisive,1,NEG,Y
derisively,1,NEG,Y
derisiveness,1,NEG,Y
derogatory,1,NEG,Y
desecrate,1,NEG,Y
desert,1,NEG,Y
desertion,1,NEG,Y
deservedly,1,POS,Y
deserving,1,POS,Y
desiccate,1,NEG,Y
desiccated,1,NEG,Y
desirable,1,POS,Y
desiring,1,POS,Y
desirous,1,POS,Y
desititute,1,NEG,Y
desolate,1,NEG,Y
desolately,1,NEG,Y
desolation,1,NEG,Y
despair,1,NEG,Y
despairing,1,NEG,Y
despairingly,1,NEG,Y
desperate,1,NEG,Y
desperately,1,NEG,Y
desperation,1,NEG,Y
despicable,1,NEG,Y
despicably,1,NEG,Y
despise,1,NEG,Y
despised,1,NEG,Y
despoil,1,NEG,Y
despoiler,1,NEG,Y
despondence,1,NEG,Y
despondency,1,NEG,Y
despondent,1,NEG,Y
despondently,1,NEG,Y
despot,1,NEG,Y
despotic,1,NEG,Y
despotism,1,NEG,Y
destabilisation,1,NEG,Y
destains,1,NEG,Y
destiny,1,POS,Y
destitute,1,NEG,Y
destitution,1,NEG,Y
destroy,1,NEG,Y
destroyer,1,NEG,Y
destruction,1,NEG,Y
destructive,1,NEG,Y
desultory,1,NEG,Y
detachable,1,POS,Y
deter,1,NEG,Y
deteriorate,1,NEG,Y
deteriorating,1,NEG,Y
deterioration,1,NEG,Y
deterrent,1,NEG,Y
detest,1,NEG,Y
detestable,1,NEG,Y
detestably,1,NEG,Y
detested,1,NEG,Y
detesting,1,NEG,Y
detests,1,NEG,Y
detract,1,NEG,Y
detracted,1,NEG,Y
detracting,1,NEG,Y
detraction,1,NEG,Y
detracts,1,NEG,Y
detriment,1,NEG,Y
detrimental,1,NEG,Y
devastate,1,NEG,Y
devastated,1,NEG,Y
devastates,1,NEG,Y
devastating,1,NEG,Y
devastatingly,1,NEG,Y
devastation,1,NEG,Y
deviate,1,NEG,Y
deviation,1,NEG,Y
devil,1,NEG,Y
devilish,1,NEG,Y
devilishly,1,NEG,Y
devilment,1,NEG,Y
devilry,1,NEG,Y
devious,1,NEG,Y
deviously,1,NEG,Y
deviousness,1,NEG,Y
devoid,1,NEG,Y
devout,1,POS,Y
dexterous,1,POS,Y
dexterously,1,POS,Y
dextrous,1,POS,Y
diabolic,1,NEG,Y
diabolical,1,NEG,Y
diabolically,1,NEG,Y
diametrically,1,NEG,Y
diappointed,1,NEG,Y
diatribe,1,NEG,Y
diatribes,1,NEG,Y
dick,1,NEG,Y
dictator,1,NEG,Y
dictatorial,1,NEG,Y
die,1,NEG,Y
die-hard,1,NEG,Y
died,1,NEG,Y
dies,1,NEG,Y
difficult,1,NEG,Y
difficulties,1,NEG,Y
difficulty,1,NEG,Y
diffidence,1,NEG,Y
dignified,1,POS,Y
dignify,1,POS,Y
dignity,1,POS,Y
dilapidated,1,NEG,Y
dilemma,1,NEG,Y
diligence,1,POS,Y
diligent,1,POS,Y
diligently,1,POS,Y
dilly-dally,1,NEG,Y
dim,1,NEG,Y
dimmer,1,NEG,Y
din,1,NEG,Y
ding,1,NEG,Y
dings,1,NEG,Y
dinky,1,NEG,Y
diplomatic,1,POS,Y
dire,1,NEG,Y
direly,1,NEG,Y
direness,1,NEG,Y
dirt,1,NEG,Y
dirt-cheap,1,POS,Y
dirtbag,1,NEG,Y
dirtbags,1,NEG,Y
dirts,1,NEG,Y
dirty,1,NEG,Y
disable,1,NEG,Y
disabled,1,NEG,Y
disaccord,1,NEG,Y
disadvantage,1,NEG,Y
disadvantaged,1,NEG,Y
disadvantageous,1,NEG,Y
disadvantages,1,NEG,Y
disaffect,1,NEG,Y
disaffected,1,NEG,Y
disaffirm,1,NEG,Y
disagree,1,NEG,Y
disagreeable,1,NEG,Y
disagreeably,1,NEG,Y
disagreed,1,NEG,Y
disagreeing,1,NEG,Y
disagreement,1,NEG,Y
disagrees,1,NEG,Y
disallow,1,NEG,Y
disapointed,1,NEG,Y
disapointing,1,NEG,Y
disapointment,1,NEG,Y
disappoint,1,NEG,Y
disappointed,1,NEG,Y
disappointing,1,NEG,Y
disappointingly,1,NEG,Y
disappointment,1,NEG,Y
disappointments,1,NEG,Y
disappoints,1,NEG,Y
disapprobation,1,NEG,Y
disapproval,1,NEG,Y
disapprove,1,NEG,Y
disapproving,1,NEG,Y
disarm,1,NEG,Y
disarray,1,NEG,Y
disaster,1,NEG,Y
disasterous,1,NEG,Y
disastrous,1,NEG,Y
disastrously,1,NEG,Y
disavow,1,NEG,Y
disavowal,1,NEG,Y
disbelief,1,NEG,Y
disbelieve,1,NEG,Y
disbeliever,1,NEG,Y
disclaim,1,NEG,Y
discombobulate,1,NEG,Y
discomfit,1,NEG,Y
discomfititure,1,NEG,Y
discomfort,1,NEG,Y
discompose,1,NEG,Y
disconcert,1,NEG,Y
disconcerted,1,NEG,Y
disconcerting,1,NEG,Y
disconcertingly,1,NEG,Y
disconsolate,1,NEG,Y
disconsolately,1,NEG,Y
disconsolation,1,NEG,Y
discontent,1,NEG,Y
discontented,1,NEG,Y
discontentedly,1,NEG,Y
discontinued,1,NEG,Y
discontinuity,1,NEG,Y
discontinuous,1,NEG,Y
discord,1,NEG,Y
discordance,1,NEG,Y
discordant,1,NEG,Y
discountenance,1,NEG,Y
discourage,1,NEG,Y
discouragement,1,NEG,Y
discouraging,1,NEG,Y
discouragingly,1,NEG,Y
discourteous,1,NEG,Y
discourteously,1,NEG,Y
discoutinous,1,NEG,Y
discredit,1,NEG,Y
discrepant,1,NEG,Y
discriminate,1,NEG,Y
discrimination,1,NEG,Y
discriminatory,1,NEG,Y
disdain,1,NEG,Y
disdained,1,NEG,Y
disdainful,1,NEG,Y
disdainfully,1,NEG,Y
disfavor,1,NEG,Y
disgrace,1,NEG,Y
disgraced,1,NEG,Y
disgraceful,1,NEG,Y
disgracefully,1,NEG,Y
disgruntle,1,NEG,Y
disgruntled,1,NEG,Y
disgust,1,NEG,Y
disgusted,1,NEG,Y
disgustedly,1,NEG,Y
disgustful,1,NEG,Y
disgustfully,1,NEG,Y
disgusting,1,NEG,Y
disgustingly,1,NEG,Y
dishearten,1,NEG,Y
disheartening,1,NEG,Y
dishearteningly,1,NEG,Y
dishonest,1,NEG,Y
dishonestly,1,NEG,Y
dishonesty,1,NEG,Y
dishonor,1,NEG,Y
dishonorable,1,NEG,Y
dishonorablely,1,NEG,Y
disillusion,1,NEG,Y
disillusioned,1,NEG,Y
disillusionment,1,NEG,Y
disillusions,1,NEG,Y
disinclination,1,NEG,Y
disinclined,1,NEG,Y
disingenuous,1,NEG,Y
disingenuously,1,NEG,Y
disintegrate,1,NEG,Y
disintegrated,1,NEG,Y
disintegrates,1,NEG,Y
disintegration,1,NEG,Y
disinterest,1,NEG,Y
disinterested,1,NEG,Y
dislike,1,NEG,Y
disliked,1,NEG,Y
dislikes,1,NEG,Y
disliking,1,NEG,Y
dislocated,1,NEG,Y
disloyal,1,NEG,Y
disloyalty,1,NEG,Y
dismal,1,NEG,Y
dismally,1,NEG,Y
dismalness,1,NEG,Y
dismay,1,NEG,Y
dismayed,1,NEG,Y
dismaying,1,NEG,Y
dismayingly,1,NEG,Y
dismissive,1,NEG,Y
dismissively,1,NEG,Y
disobedience,1,NEG,Y
disobedient,1,NEG,Y
disobey,1,NEG,Y
disoobedient,1,NEG,Y
disorder,1,NEG,Y
disordered,1,NEG,Y
disorderly,1,NEG,Y
disorganized,1,NEG,Y
disorient,1,NEG,Y
disoriented,1,NEG,Y
disown,1,NEG,Y
disparage,1,NEG,Y
disparaging,1,NEG,Y
disparagingly,1,NEG,Y
dispensable,1,NEG,Y
dispirit,1,NEG,Y
dispirited,1,NEG,Y
dispiritedly,1,NEG,Y
dispiriting,1,NEG,Y
displace,1,NEG,Y
displaced,1,NEG,Y
displease,1,NEG,Y
displeased,1,NEG,Y
displeasing,1,NEG,Y
displeasure,1,NEG,Y
disproportionate,1,NEG,Y
disprove,1,NEG,Y
disputable,1,NEG,Y
dispute,1,NEG,Y
disputed,1,NEG,Y
disquiet,1,NEG,Y
disquieting,1,NEG,Y
disquietingly,1,NEG,Y
disquietude,1,NEG,Y
disregard,1,NEG,Y
disregardful,1,NEG,Y
disreputable,1,NEG,Y
disrepute,1,NEG,Y
disrespect,1,NEG,Y
disrespectable,1,NEG,Y
disrespectablity,1,NEG,Y
disrespectful,1,NEG,Y
disrespectfully,1,NEG,Y
disrespectfulness,1,NEG,Y
disrespecting,1,NEG,Y
disrupt,1,NEG,Y
disruption,1,NEG,Y
disruptive,1,NEG,Y
diss,1,NEG,Y
dissapointed,1,NEG,Y
dissappointed,1,NEG,Y
dissappointing,1,NEG,Y
dissatisfaction,1,NEG,Y
dissatisfactory,1,NEG,Y
dissatisfied,1,NEG,Y
dissatisfies,1,NEG,Y
dissatisfy,1,NEG,Y
dissatisfying,1,NEG,Y
dissed,1,NEG,Y
dissemble,1,NEG,Y
dissembler,1,NEG,Y
dissension,1,NEG,Y
dissent,1,NEG,Y
dissenter,1,NEG,Y
dissention,1,NEG,Y
disservice,1,NEG,Y
disses,1,NEG,Y
dissidence,1,NEG,Y
dissident,1,NEG,Y
dissidents,1,NEG,Y
dissing,1,NEG,Y
dissocial,1,NEG,Y
dissolute,1,NEG,Y
dissolution,1,NEG,Y
dissonance,1,NEG,Y
dissonant,1,NEG,Y
dissonantly,1,NEG,Y
dissuade,1,NEG,Y
dissuasive,1,NEG,Y
distains,1,NEG,Y
distaste,1,NEG,Y
distasteful,1,NEG,Y
distastefully,1,NEG,Y
distinction,1,POS,Y
distinctive,1,POS,Y
distinguished,1,POS,Y
distort,1,NEG,Y
distorted,1,NEG,Y
distortion,1,NEG,Y
distorts,1,NEG,Y
distract,1,NEG,Y
distracting,1,NEG,Y
distraction,1,NEG,Y
distraught,1,NEG,Y
distraughtly,1,NEG,Y
distraughtness,1,NEG,Y
distress,1,NEG,Y
distressed,1,NEG,Y
distressing,1,NEG,Y
distressingly,1,NEG,Y
distrust,1,NEG,Y
distrustful,1,NEG,Y
distrusting,1,NEG,Y
disturb,1,NEG,Y
disturbance,1,NEG,Y
disturbed,1,NEG,Y
disturbing,1,NEG,Y
disturbingly,1,NEG,Y
disunity,1,NEG,Y
disvalue,1,NEG,Y
divergent,1,NEG,Y
diversified,1,POS,Y
divine,1,POS,Y
divinely,1,POS,Y
divisive,1,NEG,Y
divisively,1,NEG,Y
divisiveness,1,NEG,Y
dizzing,1,NEG,Y
dizzingly,1,NEG,Y
dizzy,1,NEG,Y
doddering,1,NEG,Y
dodgey,1,NEG,Y
dogged,1,NEG,Y
doggedly,1,NEG,Y
dogmatic,1,NEG,Y
doldrums,1,NEG,Y
dominate,1,POS,Y
dominated,1,POS,Y
dominates,1,POS,Y
domineer,1,NEG,Y
domineering,1,NEG,Y
donside,1,NEG,Y
doom,1,NEG,Y
doomed,1,NEG,Y
doomsday,1,NEG,Y
dope,1,NEG,Y
dote,1,POS,Y
dotingly,1,POS,Y
doubt,1,NEG,Y
doubtful,1,NEG,Y
doubtfully,1,NEG,Y
doubtless,1,POS,Y
doubts,1,NEG,Y
douchbag,1,NEG,Y
douchebag,1,NEG,Y
douchebags,1,NEG,Y
downbeat,1,NEG,Y
downcast,1,NEG,Y
downer,1,NEG,Y
downfall,1,NEG,Y
downfallen,1,NEG,Y
downgrade,1,NEG,Y
downhearted,1,NEG,Y
downheartedly,1,NEG,Y
downhill,1,NEG,Y
downside,1,NEG,Y
downsides,1,NEG,Y
downturn,1,NEG,Y
downturns,1,NEG,Y
drab,1,NEG,Y
draconian,1,NEG,Y
draconic,1,NEG,Y
drag,1,NEG,Y
dragged,1,NEG,Y
dragging,1,NEG,Y
dragoon,1,NEG,Y
drags,1,NEG,Y
drain,1,NEG,Y
drained,1,NEG,Y
draining,1,NEG,Y
drains,1,NEG,Y
drastic,1,NEG,Y
drastically,1,NEG,Y
drawback,1,NEG,Y
drawbacks,1,NEG,Y
dread,1,NEG,Y
dreadful,1,NEG,Y
dreadfully,1,NEG,Y
dreadfulness,1,NEG,Y
dreamland,1,POS,Y
dreary,1,NEG,Y
dripped,1,NEG,Y
dripping,1,NEG,Y
drippy,1,NEG,Y
drips,1,NEG,Y
drones,1,NEG,Y
droop,1,NEG,Y
droops,1,NEG,Y
drop-out,1,NEG,Y
drop-outs,1,NEG,Y
dropout,1,NEG,Y
dropouts,1,NEG,Y
drought,1,NEG,Y
drowning,1,NEG,Y
drunk,1,NEG,Y
drunkard,1,NEG,Y
drunken,1,NEG,Y
dubious,1,NEG,Y
dubiously,1,NEG,Y
dubitable,1,NEG,Y
dud,1,NEG,Y
dull,1,NEG,Y
dullard,1,NEG,Y
dumb,1,NEG,Y
dumbfound,1,NEG,Y
dumbfounded,1,POS,Y
dumbfounding,1,POS,Y
dummy-proof,1,POS,Y
dump,1,NEG,Y
dumped,1,NEG,Y
dumping,1,NEG,Y
dumps,1,NEG,Y
dunce,1,NEG,Y
dungeon,1,NEG,Y
dungeons,1,NEG,Y
dupe,1,NEG,Y
durable,1,POS,Y
dust,1,NEG,Y
dusty,1,NEG,Y
dwindling,1,NEG,Y
dying,1,NEG,Y
dynamic,1,POS,Y
eager,1,POS,Y
eagerly,1,POS,Y
eagerness,1,POS,Y
earnest,1,POS,Y
earnestly,1,POS,Y
earnestness,1,POS,Y
earsplitting,1,NEG,Y
ease,1,POS,Y
eased,1,POS,Y
eases,1,POS,Y
easier,1,POS,Y
easiest,1,POS,Y
easiness,1,POS,Y
easing,1,POS,Y
easy,1,POS,Y
easy-to-use,1,POS,Y
easygoing,1,POS,Y
ebullience,1,POS,Y
ebullient,1,POS,Y
ebulliently,1,POS,Y
eccentric,1,NEG,Y
eccentricity,1,NEG,Y
ecenomical,1,POS,Y
economical,1,POS,Y
ecstasies,1,POS,Y
ecstasy,1,POS,Y
ecstatic,1,POS,Y
ecstatically,1,POS,Y
edify,1,POS,Y
educated,1,POS,Y
effective,1,POS,Y
effectively,1,POS,Y
effectiveness,1,POS,Y
effectual,1,POS,Y
efficacious,1,POS,Y
efficient,1,POS,Y
efficiently,1,POS,Y
effigy,1,NEG,Y
effortless,1,POS,Y
effortlessly,1,POS,Y
effrontery,1,NEG,Y
effusion,1,POS,Y
effusive,1,POS,Y
effusively,1,POS,Y
effusiveness,1,POS,Y
egocentric,1,NEG,Y
egomania,1,NEG,Y
egotism,1,NEG,Y
egotistical,1,NEG,Y
egotistically,1,NEG,Y
egregious,1,NEG,Y
egregiously,1,NEG,Y
elan,1,POS,Y
elate,1,POS,Y
elated,1,POS,Y
elatedly,1,POS,Y
elation,1,POS,Y
election-rigger,1,NEG,Y
electrify,1,POS,Y
elegance,1,POS,Y
elegant,1,POS,Y
elegantly,1,POS,Y
elevate,1,POS,Y
elimination,1,NEG,Y
elite,1,POS,Y
eloquence,1,POS,Y
eloquent,1,POS,Y
eloquently,1,POS,Y
emaciated,1,NEG,Y
emasculate,1,NEG,Y
embarrass,1,NEG,Y
embarrassing,1,NEG,Y
embarrassingly,1,NEG,Y
embarrassment,1,NEG,Y
embattled,1,NEG,Y
embolden,1,POS,Y
embroil,1,NEG,Y
embroiled,1,NEG,Y
embroilment,1,NEG,Y
emergency,1,NEG,Y
eminence,1,POS,Y
eminent,1,POS,Y
empathize,1,POS,Y
empathy,1,POS,Y
emphatic,1,NEG,Y
emphatically,1,NEG,Y
empower,1,POS,Y
empowerment,1,POS,Y
emptiness,1,NEG,Y
enchant,1,POS,Y
enchanted,1,POS,Y
enchanting,1,POS,Y
enchantingly,1,POS,Y
encourage,1,POS,Y
encouragement,1,POS,Y
encouraging,1,POS,Y
encouragingly,1,POS,Y
encroach,1,NEG,Y
encroachment,1,NEG,Y
endanger,1,NEG,Y
endear,1,POS,Y
endearing,1,POS,Y
endorse,1,POS,Y
endorsed,1,POS,Y
endorsement,1,POS,Y
endorses,1,POS,Y
endorsing,1,POS,Y
enemies,1,NEG,Y
enemy,1,NEG,Y
energetic,1,POS,Y
energize,1,POS,Y
energy-efficient,1,POS,Y
energy-saving,1,POS,Y
enervate,1,NEG,Y
enfeeble,1,NEG,Y
enflame,1,NEG,Y
engaging,1,POS,Y
engrossing,1,POS,Y
engulf,1,NEG,Y
enhance,1,POS,Y
enhanced,1,POS,Y
enhancement,1,POS,Y
enhances,1,POS,Y
enjoin,1,NEG,Y
enjoy,1,POS,Y
enjoyable,1,POS,Y
enjoyably,1,POS,Y
enjoyed,1,POS,Y
enjoying,1,POS,Y
enjoyment,1,POS,Y
enjoys,1,POS,Y
enlighten,1,POS,Y
enlightenment,1,POS,Y
enliven,1,POS,Y
enmity,1,NEG,Y
ennoble,1,POS,Y
enough,1,POS,Y
enrage,1,NEG,Y
enraged,1,NEG,Y
enraging,1,NEG,Y
enrapt,1,POS,Y
enrapture,1,POS,Y
enraptured,1,POS,Y
enrich,1,POS,Y
enrichment,1,POS,Y
enslave,1,NEG,Y
entangle,1,NEG,Y
entanglement,1,NEG,Y
enterprising,1,POS,Y
entertain,1,POS,Y
entertaining,1,POS,Y
entertains,1,POS,Y
enthral,1,POS,Y
enthrall,1,POS,Y
enthralled,1,POS,Y
enthuse,1,POS,Y
enthusiasm,1,POS,Y
enthusiast,1,POS,Y
enthusiastic,1,POS,Y
enthusiastically,1,POS,Y
entice,1,POS,Y
enticed,1,POS,Y
enticing,1,POS,Y
enticingly,1,POS,Y
entranced,1,POS,Y
entrancing,1,POS,Y
entrap,1,NEG,Y
entrapment,1,NEG,Y
entrust,1,POS,Y
enviable,1,POS,Y
enviably,1,POS,Y
envious,1,POS,Y
envious,1,NEG,Y
enviously,1,POS,Y
enviously,1,NEG,Y
enviousness,1,POS,Y
enviousness,1,NEG,Y
envy,1,POS,Y
epidemic,1,NEG,Y
equitable,1,POS,Y
equivocal,1,NEG,Y
erase,1,NEG,Y
ergonomical,1,POS,Y
erode,1,NEG,Y
erodes,1,NEG,Y
erosion,1,NEG,Y
err,1,NEG,Y
err-free,1,POS,Y
errant,1,NEG,Y
erratic,1,NEG,Y
erratically,1,NEG,Y
erroneous,1,NEG,Y
erroneously,1,NEG,Y
error,1,NEG,Y
errors,1,NEG,Y
erudite,1,POS,Y
eruptions,1,NEG,Y
escapade,1,NEG,Y
eschew,1,NEG,Y
estranged,1,NEG,Y
ethical,1,POS,Y
eulogize,1,POS,Y
euphoria,1,POS,Y
euphoric,1,POS,Y
euphorically,1,POS,Y
evade,1,NEG,Y
evaluative,1,POS,Y
evasion,1,NEG,Y
evasive,1,NEG,Y
evenly,1,POS,Y
eventful,1,POS,Y
everlasting,1,POS,Y
evil,1,NEG,Y
evildoer,1,NEG,Y
evils,1,NEG,Y
eviscerate,1,NEG,Y
evocative,1,POS,Y
exacerbate,1,NEG,Y
exagerate,1,NEG,Y
exagerated,1,NEG,Y
exagerates,1,NEG,Y
exaggerate,1,NEG,Y
exaggeration,1,NEG,Y
exalt,1,POS,Y
exaltation,1,POS,Y
exalted,1,POS,Y
exaltedly,1,POS,Y
exalting,1,POS,Y
exaltingly,1,POS,Y
examplar,1,POS,Y
examplary,1,POS,Y
exasperate,1,NEG,Y
exasperated,1,NEG,Y
exasperating,1,NEG,Y
exasperatingly,1,NEG,Y
exasperation,1,NEG,Y
excallent,1,POS,Y
exceed,1,POS,Y
exceeded,1,POS,Y
exceeding,1,POS,Y
exceedingly,1,POS,Y
exceeds,1,POS,Y
excel,1,POS,Y
exceled,1,POS,Y
excelent,1,POS,Y
excellant,1,POS,Y
excelled,1,POS,Y
excellence,1,POS,Y
excellency,1,POS,Y
